index,airport,Carrier,Duration,price,layover,minutes,legs,plane1,plane2,aircraft_ID_1,aircraft_ID_2,Carbon Leg 1,Carbon Leg 2,Total Carbon,carbon utility,no-carbon utility,carbon prob,no-carbon prob
30,SMF,American Basic Economy,8h 57m,$676,PHX,537,2,Airbus A319,Boeing 737,40,229,478.07,944.11,1422.18,-9.068858815001601,-5.17885135,0.014010616411905609,0.012936320371634346
31,SMF,American Basic Economy   Operated by Compass Airlines as American Eagle,9h 5m,$677,LAX,545,2,Embraer RJ-175,Airbus A321neo,110,227,343.08,1031.12,1374.1999999999998,-9.019985579504,-5.189284730000001,0.014712369357801458,0.012802052477356829
32,SMF,JetBlue Basic Economy,9h 5m,$800,BOS,545,2,Airbus A320,Embraer RJ-190,41,111,1669.74,328.53,1998.27,-11.421479641302401,-6.472590470000001,0.0013326834366028345,0.003547700928329361
33,SMF,Delta Basic Economy,9h 6m,$648,ATL,546,2,Boeing 737,Airbus A321,61,42,1433.32,350.14,1783.46,-9.1710958509952,-4.886716710000001,0.012649002032905936,0.017325398181385593
34,SMF,United Basic Economy   Operated by Republic Airlines DBA United Express,9h 29m,$597,EWR,569,2,Airbus A319,Embraer RJ-170,40,109,1794.39,166.01,1960.4,-8.737065510448,-4.35461433,0.019523300739072425,0.029496626706181035
35,SMF,American Basic Economy,9h 46m,$704,CLT,586,2,Airbus A321,Airbus A320,42,41,1380.14,224.11,1604.25,-9.66711572776,-5.470985990000001,0.007702603931524513,0.00965913643112461
36,SMF,American Basic Economy,9h 52m,$705,DFW,592,2,Boeing 737,Boeing 737,229,229,687.46,577.28,1264.74,-9.2423981913888,-5.481419370000001,0.011778501711863747,0.009558882891332101
37,SMF,American Basic Economy,10h 1m,$648,DFW,601,2,Airbus A321,Boeing 737,42,229,864.07,577.28,1441.35,-8.730043150512001,-4.886716710000001,0.01966088289432029,0.017325398181385593
38,SMF,JetBlue Basic Economy,10h 8m,$800,BOS,608,2,Airbus A320,Embraer RJ-190,41,111,1669.74,328.53,1998.27,-11.421479641302401,-6.472590470000001,0.0013326834366028345,0.003547700928329361
39,SMF,United Basic Economy   Operated by Mesa Airlines DBA United Express,10h 43m,$597,IAH,643,2,Boeing 737,Embraer RJ-175,61,110,1098.25,1118.27,2216.52,-9.0672587747424,-4.35461433,0.014033051906281515,0.029496626706181035
40,SMF,American Basic Economy   Operated by Compass Airlines as American Eagle,11h 21m,$705,LAX,681,2,Embraer RJ-175,Airbus A321neo,110,227,343.08,1031.12,1374.1999999999998,-9.383515459504,-5.481419370000001,0.010228303320382671,0.009558882891332101
41,SMF,American Basic Economy,12h 7m,$676,PHX,727,2,Airbus A320,Boeing 737,41,229,418.94,944.11,1363.05,-8.992627643216,-5.17885135,0.015120425761152596,0.012936320371634346
42,SMF,Alaska Basic Economy,12h 34m,$968,SEA,754,2,Boeing 737,Boeing 737,61,61,422.2,1598.03,2020.23,-13.630970041417601,-8.22539831,0.00014627075783310258,0.000614769380760466
43,SFO,Alaska Basic Economy,5h 20m,$713,,320,1,Airbus A320,,41,,1545.96,,1545.96,-9.685583144995201,-5.951567300000001,0.007561662151856249,0.0059734397730231694
44,SFO,United Basic Economy,5h 26m,$586,,326,1,Boeing 737,,61,,1718.61,,1718.61,-8.2592981201632,-4.626528040000001,0.03148074383915967,0.02247406994770796
45,SFO,Delta Basic Economy,6h 35m,$632,DTW,395,2,Boeing 737,Airbus A319,61,40,1424.23,309.36,1733.5900000000001,-10.477267692700801,-6.593896160000001,0.0034260448116008244,0.0031424227469305024
46,SFO,Delta Basic Economy,6h 37m,$632,DTW,397,2,Boeing 757,Airbus A321,72,42,1476.27,264.4,1740.67,-10.4863953215904,-6.593896160000001,0.003394915430843739,0.0031424227469305024
47,SFO,United Basic Economy,6h 40m,$594,ORD,400,2,Boeing 757,Airbus A319,72,40,1306.21,454.37,1760.58,-10.0187015748096,-6.19742772,0.0054193322002129155,0.004671417308705063
48,SFO,American Basic Economy,7h 1m,$551,ORD,421,2,Boeing 737,Boeing 737,229,229,881.07,309.09,1190.16,-8.7250305968992,-5.74879238,0.01975968153377635,0.0073162496798491565
49,SFO,Delta Basic Economy,7h 3m,$729,MSP,423,2,Boeing 757,Airbus A320,72,41,1121.68,585.94,1707.6200000000001,-11.7031581979744,-7.60593402,0.0010055312153998284,0.0011421999892813604
50,SFO,United Basic Economy,7h 4m,$635,ORD,424,2,Boeing 737,Airbus A320,61,41,1262.74,398.36,1661.1,-10.422762263631999,-6.625196300000001,0.0036179657079344154,0.003045587853496115
51,SFO,Delta Basic Economy,7h 4m,$729,MSP,424,2,Boeing 757,Airbus A319,72,40,1121.68,670.11,1791.79,-11.811671266284801,-7.60593402,0.0009021295951497781,0.0011421999892813604
52,SFO,American Basic Economy,7h 6m,$583,PHX,426,2,Airbus A321,Boeing 757,42,72,411.31,1402.86,1814.1699999999998,-9.9449751959104,-6.082660540000001,0.005833977276739071,0.005239518987623809
53,SFO,Delta Basic Economy,7h 6m,$729,DTW,426,2,Boeing 757,Airbus A319,72,40,1476.27,309.36,1785.63,-11.8037297134656,-7.60593402,0.0009093224283083989,0.0011421999892813604
54,SFO,United Basic Economy,7h 12m,$594,ORD,432,2,Boeing 757,Airbus A319,72,40,1306.21,454.37,1760.58,-10.0187015748096,-6.19742772,0.0054193322002129155,0.004671417308705063
55,SFO,Delta Basic Economy,7h 14m,$729,SLC,434,2,Boeing 737,Boeing 757,61,72,417.13,1308.94,1726.0700000000002,-11.726944180038402,-7.60593402,0.0009818958771537311,0.0011421999892813604
56,SFO,Delta Basic Economy,7h 20m,$689,ATL,440,2,Boeing 757,Airbus A321,72,42,1520.95,350.14,1871.0900000000001,-11.394577466700799,-7.18859882,0.001369022122356562,0.0017337581923652266
57,SFO,United Basic Economy   Operated by Expressjet Airlines DBA United Express,7h 21m,$635,CLE,441,2,Boeing 737,Embraer ERJ-135/145,61,116,1482.32,290.87,1773.19,-10.5672701622528,-6.625196300000001,0.003131161462883085,0.003045587853496115
58,SFO,American Basic Economy   Operated by Republic Airlines as American Eagle,7h 23m,$727,CLT,443,2,Airbus A321,Embraer RJ-175,42,110,1422.93,303.82,1726.75,-11.70185442496,-7.585067260000001,0.0010068430548482135,0.0011662844103465181
59,SFO,American Basic Economy,7h 24m,$663,DFW,444,2,Boeing 737,Airbus A321,229,42,703.32,723.87,1427.19,-10.4847323027328,-6.91733094,0.003400565936371545,0.0022740429847732976
60,SFO,American Basic Economy,7h 27m,$583,DFW,447,2,Airbus A321,Airbus A321,42,42,884.18,723.87,1608.05,-9.679242587616,-6.082660540000001,0.0076097596258720025,0.005239518987623809
61,SFO,United Basic Economy   Operated by Republic Airlines DBA United Express,7h 29m,$594,IAH,449,2,Boeing 777,Embraer RJ-175,83,110,1361.63,1118.27,2479.9,-10.946058356287999,-6.19742772,0.002143876879791621,0.004671417308705063
62,SFO,United Basic Economy   Operated by Republic Airlines DBA United Express,7h 29m,$693,EWR,449,2,Boeing 777,Embraer RJ-170,83,109,2122.86,166.01,2288.87,-11.9851177639744,-7.23033234,0.0007584764023675043,0.0016628914057437577
63,SFO,United Basic Economy,7h 29m,$797,ORD,449,2,Boeing 757,Airbus A319,72,40,1306.21,454.37,1760.58,-12.654293204809601,-8.31540386,0.0003884390400974665,0.0005618537905296801
64,SFO,American Basic Economy,7h 30m,$649,ORD,450,2,Boeing 737,Boeing 737,229,229,881.07,309.09,1190.16,-9.9973851768992,-6.771263620000001,0.005536092879152134,0.002631691032920396
65,SFO,Delta Basic Economy,7h 30m,$729,ATL,450,2,Boeing 757,Airbus A321,72,42,1520.95,350.14,1871.0900000000001,-11.913905866700802,-7.60593402,0.000814458589116931,0.0011421999892813604
66,SFO,Delta Basic Economy,7h 35m,$613,LAX,455,2,Boeing 737,Boeing 757,61,72,236.16,1648.56,1884.72,-10.4254254815264,-6.39566194,0.00360834309616319,0.003831392437649752
67,SFO,United Basic Economy,7h 39m,$594,ORD,459,2,Boeing 757,Boeing 737,72,61,1306.21,425.58,1731.79,-9.9815851290848,-6.19742772,0.005624258084443658,0.004671417308705063
68,SFO,Delta Basic Economy,7h 40m,$632,ATL,460,2,Boeing 737,Airbus A321,61,42,1466.66,350.14,1816.8000000000002,-10.584543116416,-6.593896160000001,0.003077541475392614,0.0031424227469305024
69,SFO,Delta Basic Economy,7h 40m,$689,MSP,460,2,Boeing 737,Airbus A320,61,41,1084.42,585.94,1670.3600000000001,-11.1357937171232,-7.18859882,0.0017733678082769004,0.0017337581923652266
70,SFO,Delta Basic Economy,7h 41m,$632,ATL,461,2,Boeing 737,Airbus A321,61,42,1466.66,350.14,1816.8000000000002,-10.584543116416,-6.593896160000001,0.003077541475392614,0.0031424227469305024
71,SFO,American Basic Economy,7h 42m,$663,DFW,462,2,Airbus A321,Boeing 737,42,229,884.18,577.28,1461.46,-10.528913636355199,-6.91733094,0.00325359499079789,0.0022740429847732976
72,SFO,American Basic Economy,7h 43m,$663,PHL,463,2,Airbus A321,Embraer RJ-190,42,111,1598.33,77.85,1676.1799999999998,-10.8057334774816,-6.91733094,0.0024668466988420823,0.0022740429847732976
73,SFO,United Basic Economy,7h 43m,$689,ORD,463,2,Boeing 757,Airbus A319,72,40,1306.21,454.37,1760.58,-11.2521065248096,-7.18859882,0.0015786462051545888,0.0017337581923652266
74,SFO,American Basic Economy,7h 45m,$583,ORD,465,2,Boeing 737,Boeing 737,229,229,881.07,309.09,1190.16,-9.1404933168992,-6.082660540000001,0.013042077424155576,0.005239518987623809
75,SFO,American Basic Economy   Operated by Compass Airlines as American Eagle,7h 51m,$622,LAX,471,2,Embraer RJ-175,Airbus A321neo,110,227,310.36,1031.12,1341.48,-9.8419222362176,-6.489562360000001,0.006467256186841516,0.0034879978089007798
76,SFO,United Basic Economy   Operated by Expressjet Airlines DBA United Express,7h 52m,$693,EWR,472,2,Boeing 757,Embraer ERJ-135/145,72,116,1841.69,160.94,2002.63,-11.616093400505601,-7.23033234,0.0010970017448661445,0.0016628914057437577
77,SFO,Delta Basic Economy,7h 57m,$632,ATL,477,2,Boeing 737,Airbus A320,61,41,1466.66,359.77,1826.43,-10.596958238761601,-6.593896160000001,0.003039569621788262,0.0031424227469305024
78,SFO,United Basic Economy   Operated by Republic Airlines DBA United Express,7h 57m,$693,EWR,477,2,Boeing 757,Embraer RJ-170,72,109,1841.69,166.01,2007.7,-11.622629711024,-7.23033234,0.0010898547836465328,0.0016628914057437577
79,SFO,American Basic Economy,8h 2m,$581,CLT,482,2,Airbus A321,Airbus A320,42,41,1422.93,224.11,1647.04,-9.703542587164801,-6.06179378,0.0074270711251944455,0.005349999448717332
80,SFO,United Basic Economy,8h 5m,$635,ORD,485,2,Boeing 757,Airbus A320,72,41,1306.21,398.36,1704.5700000000002,-10.4788043579584,-6.625196300000001,0.003420784170525228,0.003045587853496115
81,SFO,American Basic Economy,8h 8m,$551,PHX,488,2,Airbus A321,Airbus A321,42,42,411.31,1196.73,1608.04,-9.2637669754848,-5.74879238,0.011529479577656564,0.0073162496798491565
